mode,logistics_partner,vehicle_type,fuel_type,distance_in_km_per_route,vehicle_capacity_in_kg,load_capacity_in_kg,average_speed_in_km_per_hr,traffic_condition,no_of_stop,vehicle_age_in_years,engine_norm_type,adjusted_fuel_efficiency_in_km_litre,adjusted_energy_kwh_per_km,total_energy_kwh,fuel_consumption_in_litre,load_factor,c02_emission_kg
Road,Xpressbees,bike,electric,79,140.0,132.28,32.29,Heavy,39,3,Electric,,0.0376,2.98,,0.9449,2.45
Road,Xpressbees,bike,electric,107,140.0,139.4,27.78,Moderate,21,5,Electric,,0.0412,4.43,,0.9957,3.63
Road,Loadshare,bike,petrol,128,150.0,92.71,28.4,Moderate,71,7,BS-IV,42.91,,,3.0,0.618,6.9
Road,Loadshare,bike,petrol,79,150.0,54.38,30.0,Low,65,10,BS-III,56.7,,,1.4,0.3625,3.36
Road,Loadshare,bike,petrol,169,100.0,80.53,22.71,Heavy,67,4,BS-IV,52.33,,,3.23,0.8053,7.43
Road,Loadshare,bike,petrol,92,100.0,41.41,27.44,Heavy,81,5,BS-IV,39.03,,,2.36,0.4141,5.43
Road,Loadshare,bike,petrol,121,150.0,116.31,24.84,Moderate,94,1,BS-III,47.99,,,2.54,0.7754,6.1
Road,Loadshare,bike,petrol,127,120.0,67.6,24.04,Moderate,92,8,BS-VI,43.78,,,2.92,0.5633,6.13
Road,Loadshare,bike,petrol,86,120.0,95.25,28.28,Low,105,6,BS-III,56.54,,,1.54,0.7937,3.7
Road,Loadshare,bike,petrol,65,140.0,42.13,34.68,Heavy,88,10,BS-IV,44.75,,,1.47,0.3009,3.38
Road,Loadshare,bike,petrol,121,130.0,70.9,37.61,Heavy,72,3,BS-VI,37.92,,,3.21,0.5454,6.74
Road,Loadshare,bike,petrol,149,100.0,52.26,32.35,Low,69,1,BS-VI,48.22,,,3.1,0.5226,6.51
Road,Loadshare,bike,petrol,154,130.0,69.16,38.61,Moderate,57,6,BS-III,41.01,,,3.78,0.532,9.07
Road,Loadshare,bike,petrol,109,120.0,101.63,31.78,Low,90,8,BS-III,45.79,,,2.39,0.8469,5.74
Road,Loadshare,bike,petrol,129,130.0,64.2,31.42,Low,110,8,BS-III,46.98,,,2.75,0.4938,6.6
Road,Loadshare,bike,petrol,116,130.0,44.05,38.81,Heavy,45,6,BS-VI,40.02,,,2.91,0.3389,6.11
Road,Loadshare,bike,petrol,79,150.0,108.9,28.88,Low,63,0,BS-VI,53.65,,,1.49,0.726,3.13
Road,Loadshare,bike,petrol,65,100.0,42.47,38.37,Moderate,105,3,BS-VI,45.77,,,1.43,0.4247,3.0
Road,Loadshare,bike,petrol,94,130.0,97.41,26.98,Low,111,4,BS-IV,52.48,,,1.8,0.7493,4.14
Road,Loadshare,bike,petrol,131,150.0,131.64,24.35,Moderate,63,6,BS-IV,41.91,,,3.13,0.8776,7.2
Road,Loadshare,bike,petrol,115,150.0,101.41,23.37,Moderate,49,7,BS-IV,40.72,,,2.84,0.6761,6.53
Road,Loadshare,bike,petrol,131,110.0,49.53,23.13,Low,93,9,BS-III,49.75,,,2.64,0.4503,6.34
Road,Loadshare,bike,electric,59,115.0,107.5,32.27,Heavy,27,4,Electric,,0.0384,2.28,,0.9348,1.87
Road,Loadshare,bike,electric,75,135.0,119.14,22.06,Low,32,4,Electric,,0.0367,2.78,,0.8825,2.28
Road,Loadshare,bike,electric,102,135.0,130.02,28.69,Moderate,32,4,Electric,,0.0386,3.97,,0.9631,3.26
Road,Loadshare,bike,electric,95,115.0,110.69,22.45,Moderate,26,1,Electric,,0.0386,3.7,,0.9625,3.04
Road,Loadshare,bike,electric,53,95.0,88.27,30.67,Moderate,30,0,Electric,,0.0426,2.29,,0.9291,1.88
Road,Loadshare,bike,electric,64,115.0,105.9,33.71,Moderate,28,4,Electric,,0.0347,2.24,,0.9208,1.84
Road,Loadshare,bike,electric,110,95.0,66.61,30.04,Low,28,0,Electric,,0.0334,3.68,,0.7012,3.02
Road,Loadshare,bike,electric,69,95.0,80.85,28.6,Heavy,24,3,Electric,,0.0466,3.22,,0.851,2.64
Road,Loadshare,bike,electric,53,115.0,89.96,29.06,Low,17,1,Electric,,0.0357,1.92,,0.7823,1.57
Road,Loadshare,bike,electric,64,95.0,94.03,33.82,Moderate,30,0,Electric,,0.0366,2.37,,0.9898,1.95
Road,Bluedart,bike,petrol,77,100.0,79.05,24.16,Low,116,5,BS-III,42.97,,,1.79,0.7905,4.3
Road,Bluedart,bike,petrol,130,140.0,44.52,28.83,Moderate,63,6,BS-III,40.11,,,3.24,0.318,7.78
Road,Bluedart,bike,petrol,156,110.0,62.15,28.09,Low,86,5,BS-III,45.28,,,3.46,0.565,8.3
Road,Bluedart,bike,petrol,158,130.0,84.83,28.07,Heavy,80,5,BS-VI,43.76,,,3.61,0.6526,7.58
Road,Bluedart,bike,petrol,104,140.0,122.52,26.62,Low,116,6,BS-IV,47.64,,,2.2,0.8751,5.06
Road,Bluedart,bike,petrol,80,140.0,33.41,34.68,Moderate,83,2,BS-VI,51.81,,,1.56,0.2386,3.28
Road,Bluedart,bike,petrol,159,110.0,63.51,22.31,Moderate,115,0,BS-IV,51.45,,,3.1,0.5774,7.13
Road,Bluedart,bike,petrol,74,140.0,34.23,25.24,Heavy,73,6,BS-IV,51.54,,,1.45,0.2445,3.33
Road,Bluedart,bike,petrol,89,100.0,28.8,28.3,Low,102,6,BS-IV,55.65,,,1.6,0.288,3.68
Road,Bluedart,bike,petrol,70,100.0,20.18,32.41,Low,69,0,BS-IV,63.14,,,1.12,0.2018,2.58
Road,Bluedart,bike,petrol,163,150.0,104.91,22.0,Low,101,8,BS-III,48.07,,,3.41,0.6994,8.18
Road,Bluedart,bike,petrol,70,100.0,88.34,33.89,Low,65,7,BS-VI,46.73,,,1.5,0.8834,3.15
Road,Bluedart,bike,petrol,117,140.0,87.28,23.52,Low,72,3,BS-IV,45.22,,,2.59,0.6234,5.96
Road,Bluedart,bike,petrol,60,130.0,115.43,23.19,Low,77,9,BS-VI,47.44,,,1.27,0.8879,2.67
Road,Bluedart,bike,petrol,71,110.0,35.58,39.7,Low,72,8,BS-VI,57.23,,,1.24,0.3234,2.6
Road,Bluedart,bike,petrol,111,110.0,39.5,29.31,Moderate,61,10,BS-VI,49.8,,,2.24,0.3591,4.7
Road,Bluedart,bike,petrol,175,140.0,105.09,22.19,Low,69,4,BS-III,44.29,,,3.97,0.7507,9.53
Road,Bluedart,bike,petrol,98,130.0,67.98,26.55,Low,120,7,BS-VI,52.36,,,1.89,0.5229,3.97
Road,Bluedart,bike,petrol,153,120.0,62.66,37.76,Moderate,53,2,BS-VI,56.86,,,2.7,0.5222,5.67
Road,Bluedart,bike,petrol,176,100.0,89.18,39.58,Heavy,83,0,BS-VI,40.99,,,4.31,0.8918,9.05
Road,Bluedart,bike,electric,113,120.0,73.19,21.82,Low,13,1,Electric,,0.04102,4.656,,0.61,3.818
Road,Bluedart,bike,electric,83,200.0,185.29,18.84,Low,23,2,Electric,,0.03397,2.841,,0.93,2.33
Road,Bluedart,bike,electric,101,120.0,90.64,23.15,Moderate,12,4,Electric,,0.04042,4.119,,0.76,3.378
Road,Bluedart,bike,electric,93,200.0,130.41,24.55,Moderate,16,5,Electric,,0.03874,3.614,,0.65,2.963
Road,Bluedart,bike,electric,104,180.0,121.33,21.17,Moderate,11,2,Electric,,0.03621,3.782,,0.67,3.101
Road,Bluedart,bike,electric,111,100.0,64.51,25.97,Heavy,26,1,Electric,,0.03645,4.054,,0.65,3.324
Road,Bluedart,bike,electric,42,120.0,83.77,20.65,Moderate,16,2,Electric,,0.03648,1.537,,0.7,1.26
Road,Bluedart,bike,electric,56,100.0,87.09,28.27,Moderate,20,1,Electric,,0.04256,2.42,,0.87,1.984
Road,Bluedart,bike,electric,114,150.0,92.66,28.04,Moderate,15,2,Electric,,0.03335,3.819,,0.62,3.132
Road,Bluedart,bike,electric,85,180.0,143.02,21.63,Low,26,4,Electric,,0.04108,3.512,,0.79,2.88
Road,Bluedart,bike,electric,96,180.0,173.35,29.65,Low,25,5,Electric,,0.03961,3.837,,0.96,3.146
Road,Bluedart,bike,electric,40,100.0,84.27,25.14,Moderate,11,5,Electric,,0.04552,1.834,,0.84,1.504
Road,Bluedart,bike,electric,61,200.0,180.68,22.38,Heavy,23,1,Electric,,0.03805,2.343,,0.9,1.921
Road,Bluedart,bike,electric,78,200.0,126.24,18.76,Moderate,23,2,Electric,,0.04088,3.194,,0.63,2.619
Road,Bluedart,bike,electric,71,180.0,155.72,20.61,Moderate,18,3,Electric,,0.04152,2.96,,0.87,2.427
Road,Bluedart,bike,electric,109,150.0,111.16,22.89,Moderate,23,4,Electric,,0.04298,4.713,,0.74,3.865
Road,Bluedart,bike,electric,97,200.0,188.97,21.39,Low,22,3,Electric,,0.04058,3.952,,0.94,3.241
Road,Bluedart,bike,electric,86,100.0,85.38,20.34,Moderate,13,1,Electric,,0.04274,3.717,,0.85,3.048
Road,Bluedart,bike,electric,44,120.0,77.17,28.22,Low,25,2,Electric,,0.03652,1.632,,0.64,1.338
Road,Bluedart,bike,electric,45,100.0,81.66,25.55,Heavy,12,5,Electric,,0.03694,1.685,,0.82,1.382
Road,Bluedart,bike,electric,41,150.0,102.2,22.21,Moderate,28,3,Electric,,0.04203,1.745,,0.68,1.431
Road,Bluedart,bike,electric,89,200.0,121.5,27.45,Low,19,3,Electric,,0.0416,3.721,,0.61,3.051
Road,Bluedart,bike,electric,115,180.0,156.58,28.55,Low,29,2,Electric,,0.03312,3.817,,0.87,3.13
Road,Bluedart,bike,electric,112,100.0,96.77,27.58,Low,13,1,Electric,,0.03224,3.637,,0.97,2.982
Road,Bluedart,bike,electric,70,200.0,131.67,24.99,Moderate,18,5,Electric,,0.03671,2.604,,0.66,2.135
Road,Bluedart,bike,electric,85,200.0,167.03,25.0,Heavy,30,1,Electric,,0.03852,3.285,,0.84,2.694
Road,Bluedart,bike,electric,100,200.0,172.14,25.92,Moderate,29,5,Electric,,0.03661,3.688,,0.86,3.024
Road,Bluedart,bike,electric,41,150.0,130.13,23.47,Moderate,22,1,Electric,,0.04311,1.808,,0.87,1.483
Road,Bluedart,bike,electric,106,150.0,126.04,28.05,Low,26,1,Electric,,0.04153,4.416,,0.84,3.621
Road,Bluedart,bike,electric,43,180.0,135.78,24.87,Moderate,13,4,Electric,,0.03474,1.494,,0.75,1.225
Road,Delhivery,auto,petrol,77,400.0,87.0,23.35,Heavy,21,10,BS-VI,26.73,,,2.9,0.2175,6.09
Road,Delhivery,auto,petrol,53,400.0,245.32,21.41,Low,47,9,BS-III,26.81,,,1.98,0.6133,4.75
Road,Delhivery,auto,petrol,94,600.0,296.22,24.17,Low,25,6,BS-IV,25.35,,,3.74,0.4937,8.6
Road,Delhivery,auto,petrol,83,450.0,391.5,21.39,Low,37,5,BS-VI,24.93,,,3.36,0.87,7.06
Road,Delhivery,auto,petrol,103,400.0,284.32,34.6,Moderate,20,8,BS-IV,27.65,,,3.75,0.7108,8.62
Road,Delhivery,auto,petrol,86,600.0,491.88,22.88,Low,17,10,BS-III,27.97,,,3.08,0.8198,7.39
Road,Delhivery,auto,petrol,136,400.0,319.48,25.7,Moderate,55,5,BS-III,24.56,,,5.56,0.7987,13.34
Road,Delhivery,auto,petrol,120,450.0,301.1,30.25,Low,53,10,BS-III,26.18,,,4.59,0.6691,11.02
Road,Delhivery,auto,petrol,87,450.0,141.48,34.84,Heavy,59,8,BS-III,25.56,,,3.44,0.3144,8.26
Road,Delhivery,auto,petrol,53,400.0,144.12,24.73,Moderate,19,3,BS-VI,30.38,,,1.75,0.3603,3.68
Road,Delhivery,auto,petrol,99,500.0,174.4,33.27,Heavy,44,2,BS-IV,22.72,,,4.4,0.3488,10.12
Road,Delhivery,auto,petrol,124,600.0,346.38,26.43,Heavy,40,5,BS-III,28.6,,,4.36,0.5773,10.46
Road,Delhivery,auto,petrol,59,450.0,250.51,20.71,Low,24,10,BS-III,28.61,,,2.07,0.5567,4.97
Road,Delhivery,auto,petrol,88,550.0,339.62,28.94,Moderate,48,4,BS-VI,29.43,,,3.01,0.6175,6.32
Road,Delhivery,auto,petrol,61,400.0,270.48,33.27,Moderate,56,5,BS-III,24.1,,,2.55,0.6762,6.12
Road,Delhivery,auto,petrol,145,450.0,232.92,33.14,Moderate,47,2,BS-VI,30.76,,,4.73,0.5176,9.93
Road,Delhivery,auto,petrol,100,500.0,394.6,22.98,Moderate,25,8,BS-VI,28.24,,,3.57,0.7892,7.5
Road,Delhivery,auto,petrol,51,600.0,256.14,33.94,Moderate,30,0,BS-III,31.29,,,1.66,0.4269,3.98
Road,Delhivery,auto,petrol,98,400.0,104.0,21.04,Heavy,23,2,BS-VI,25.75,,,3.83,0.26,8.04
Road,Delhivery,auto,petrol,102,600.0,189.36,29.1,Low,49,3,BS-VI,26.78,,,3.84,0.3156,8.06
Road,Delhivery,auto,petrol,101,500.0,253.35,21.82,Low,19,5,BS-III,28.47,,,3.57,0.5067,8.57
Road,Delhivery,auto,petrol,50,450.0,275.36,30.62,Low,29,1,BS-III,32.12,,,1.58,0.6119,3.79
Road,Delhivery,auto,petrol,77,400.0,223.96,27.28,Heavy,23,9,BS-VI,23.16,,,3.36,0.5599,7.06
Road,Delhivery,auto,petrol,69,550.0,420.86,21.45,Moderate,37,6,BS-IV,25.14,,,2.75,0.7652,6.32
Road,Delhivery,auto,petrol,148,400.0,268.56,21.48,Moderate,36,1,BS-III,24.3,,,6.11,0.6714,14.66
Road,Delhivery,auto,petrol,92,600.0,308.4,24.18,Low,19,7,BS-VI,23.42,,,3.94,0.514,8.27
Road,Delhivery,auto,petrol,146,600.0,471.12,33.9,Low,25,6,BS-IV,26.72,,,5.5,0.7852,12.65
Road,Delhivery,auto,petrol,66,550.0,457.44,20.03,Moderate,31,7,BS-IV,24.37,,,2.73,0.8317,6.28
Road,Delhivery,auto,petrol,98,600.0,397.98,22.85,Low,18,9,BS-VI,26.56,,,3.71,0.6633,7.79
Road,Delhivery,auto,petrol,108,500.0,120.0,27.54,Heavy,25,0,BS-VI,22.88,,,4.74,0.24,9.95
Road,Delhivery,auto,electric,140,400.0,277.0,23.05,Heavy,13,2,Electric,,0.0885,12.461,,0.69,10.218
Road,Delhivery,auto,electric,131,400.0,319.5,26.22,Heavy,11,4,Electric,,0.08931,11.714,,0.8,9.605
Road,Delhivery,auto,electric,117,400.0,262.68,27.99,Heavy,8,6,Electric,,0.09346,11.015,,0.66,9.032
Road,Delhivery,auto,electric,136,300.0,289.73,30.67,Moderate,21,4,Electric,,0.09403,12.807,,0.97,10.502
Road,Delhivery,auto,electric,59,600.0,550.39,31.7,Moderate,12,4,Electric,,0.08798,5.21,,0.92,4.272
Road,Delhivery,auto,electric,130,500.0,498.19,24.42,Moderate,24,4,Electric,,0.07286,9.473,,1.0,7.768
Road,Delhivery,auto,electric,129,300.0,278.35,23.26,Low,15,5,Electric,,0.09463,12.254,,0.93,10.048
Road,Delhivery,auto,electric,125,500.0,386.92,30.67,Low,20,4,Electric,,0.08359,10.511,,0.77,8.619
Road,Delhivery,auto,electric,108,600.0,553.99,25.57,Low,11,5,Electric,,0.0958,10.365,,0.92,8.499
Road,Delhivery,auto,electric,54,300.0,237.19,26.31,Heavy,24,6,Electric,,0.07861,4.265,,0.79,3.497
Road,Delhivery,auto,electric,101,400.0,354.81,30.21,Low,17,6,Electric,,0.08931,9.022,,0.89,7.398
Road,Delhivery,auto,electric,113,300.0,275.34,31.47,Heavy,13,3,Electric,,0.08764,9.934,,0.92,8.146
Road,Delhivery,auto,electric,78,300.0,227.02,30.35,Moderate,16,3,Electric,,0.09213,7.193,,0.76,5.898
Road,Delhivery,auto,electric,100,300.0,286.64,28.01,Moderate,19,4,Electric,,0.0686,6.887,,0.96,5.647
Road,Delhivery,auto,electric,55,300.0,287.9,20.87,Moderate,20,1,Electric,,0.07437,4.152,,0.96,3.405
Road,Delhivery,auto,electric,116,500.0,432.65,33.83,Heavy,18,6,Electric,,0.09703,11.328,,0.87,9.289
Road,Delhivery,auto,electric,111,400.0,376.18,28.12,Low,18,5,Electric,,0.09722,10.856,,0.94,8.902
Road,Delhivery,auto,electric,116,600.0,505.81,32.86,Moderate,9,1,Electric,,0.06961,8.107,,0.84,6.648
Road,Delhivery,auto,electric,57,300.0,192.02,26.48,Low,11,1,Electric,,0.08479,4.886,,0.64,4.007
Road,Delhivery,auto,electric,132,500.0,319.8,27.06,Heavy,8,5,Electric,,0.07315,9.694,,0.64,7.949
Road,Delhivery,auto,lng,134,500.0,428.11,38.1,Moderate,11,3,BS-IV,3.359,,,39.99,0.8562,109.97
Road,Delhivery,auto,lng,243,550.0,256.3,26.53,Heavy,16,2,BS-IV,3.203,,,76.06,0.466,209.17
Road,Delhivery,auto,lng,237,800.0,637.0,30.1,Heavy,13,1,BS-VI,3.671,,,64.75,0.7962,178.06
Road,Delhivery,auto,lng,188,550.0,296.35,42.34,Moderate,17,5,BS-VI,3.576,,,52.75,0.5388,145.06
Road,Delhivery,auto,lng,278,500.0,380.88,42.21,Low,16,3,BS-VI,3.739,,,74.55,0.7618,205.01
Road,Delhivery,auto,lng,257,600.0,534.66,32.72,Low,11,2,BS-IV,3.331,,,77.21,0.8911,212.33
Road,Delhivery,auto,lng,254,750.0,500.51,35.06,Low,21,1,BS-IV,3.373,,,75.47,0.6673,207.54
Road,Delhivery,auto,lng,256,600.0,392.0,38.28,Heavy,6,4,BS-IV,3.385,,,75.74,0.6533,208.28
Road,Delhivery,auto,lng,143,600.0,343.06,25.11,Moderate,17,4,BS-VI,3.513,,,40.8,0.5718,112.2
Road,Delhivery,auto,lng,156,800.0,471.54,41.32,Moderate,11,3,BS-VI,3.318,,,47.31,0.5894,130.1
Road,Delhivery,auto,lng,261,500.0,294.43,44.41,Heavy,24,4,BS-IV,3.069,,,85.12,0.5889,234.08
Road,Delhivery,auto,lng,161,750.0,522.26,40.68,Moderate,21,3,BS-IV,3.675,,,43.96,0.6964,120.89
Road,Delhivery,auto,lng,144,650.0,483.85,30.04,Heavy,19,2,BS-VI,3.137,,,46.02,0.7444,126.56
Road,Delhivery,auto,lng,271,700.0,431.91,35.42,Low,12,3,BS-IV,3.883,,,70.01,0.617,192.53
Road,Delhivery,auto,lng,150,800.0,379.54,32.86,Moderate,12,2,BS-VI,3.94,,,38.29,0.4744,105.3
Road,Delhivery,auto,lng,165,550.0,366.88,30.85,Moderate,12,6,BS-IV,3.071,,,54.01,0.667,148.53
Road,Delhivery,auto,lng,122,600.0,328.3,25.8,Heavy,10,0,BS-VI,3.626,,,33.85,0.5472,93.09
Road,Delhivery,auto,lng,277,550.0,267.39,35.63,Low,8,4,BS-VI,3.499,,,79.17,0.4862,217.72
Road,Delhivery,auto,lng,284,500.0,395.48,35.62,Moderate,12,1,BS-IV,3.692,,,77.18,0.791,212.25
Road,Delhivery,auto,lng,179,750.0,674.15,33.35,Heavy,10,5,BS-IV,2.944,,,61.07,0.8989,167.94
Road,Ecom Express,auto,cng,141,500.0,250.13,22.02,Heavy,59,6,BS-VI,30.55,,,4.64,0.5003,12.76
Road,Ecom Express,auto,cng,68,600.0,266.14,34.28,Low,79,8,BS-IV,29.12,,,2.35,0.4436,6.46
Road,Ecom Express,auto,cng,147,550.0,262.98,29.07,Moderate,39,3,BS-VI,26.62,,,5.56,0.4781,15.29
Road,Ecom Express,auto,cng,104,450.0,256.5,29.0,Heavy,49,5,BS-IV,30.48,,,3.43,0.57,9.43
Road,Ecom Express,auto,cng,104,600.0,466.96,26.15,Heavy,85,2,BS-IV,25.76,,,4.05,0.7783,11.14
Road,Ecom Express,auto,cng,80,600.0,226.4,25.5,Low,83,2,BS-IV,27.77,,,2.9,0.3773,7.97
Road,Ecom Express,auto,cng,147,450.0,366.92,29.06,Heavy,67,1,BS-IV,33.49,,,4.4,0.8154,12.1
Road,Ecom Express,auto,cng,65,400.0,129.45,32.87,Moderate,69,7,BS-VI,34.48,,,1.89,0.3236,5.2
Road,Ecom Express,auto,cng,92,400.0,254.55,34.57,Low,75,6,BS-VI,35.5,,,2.61,0.6364,7.18
Road,Ecom Express,auto,cng,91,400.0,262.6,24.83,Heavy,52,10,BS-VI,28.17,,,3.25,0.6565,8.94
Road,Ecom Express,auto,cng,62,500.0,295.17,30.87,Moderate,87,6,BS-VI,30.28,,,2.07,0.5903,5.69
Road,Ecom Express,auto,cng,112,500.0,229.48,27.76,Moderate,58,6,BS-VI,30.47,,,3.69,0.459,10.15
Road,Ecom Express,auto,cng,141,550.0,200.72,34.17,Moderate,33,4,BS-VI,34.37,,,4.13,0.3649,11.36
Road,Ecom Express,auto,cng,148,550.0,204.07,25.19,Heavy,40,6,BS-VI,27.23,,,5.45,0.371,14.99
Road,Ecom Express,auto,cng,61,500.0,239.03,34.57,Heavy,85,7,BS-IV,22.02,,,2.78,0.4781,7.64
Road,Ecom Express,auto,electric,127,450.0,398.7,22.75,Low,28,2,Electric,,0.0709,9.034,,0.89,7.408
Road,Ecom Express,auto,electric,119,450.0,439.12,26.22,Low,13,5,Electric,,0.07079,8.43,,0.98,6.913
Road,Ecom Express,auto,electric,63,400.0,380.8,30.41,Low,19,2,Electric,,0.08818,5.569,,0.95,4.567
Road,Ecom Express,auto,electric,64,350.0,328.98,26.8,Heavy,26,3,Electric,,0.10179,6.536,,0.94,5.36
Road,Ecom Express,auto,electric,84,450.0,414.13,25.06,Low,26,3,Electric,,0.08789,7.396,,0.92,6.065
Road,Ecom Express,auto,electric,84,550.0,470.87,18.08,Low,20,4,Electric,,0.09235,7.831,,0.86,6.421
Road,Ecom Express,auto,electric,81,450.0,273.51,21.96,Low,21,4,Electric,,0.06851,5.608,,0.61,4.599
Road,Ecom Express,auto,electric,80,450.0,389.19,28.26,Heavy,18,4,Electric,,0.08908,7.142,,0.86,5.856
Road,Ecom Express,auto,electric,98,550.0,424.45,19.65,Low,24,2,Electric,,0.08768,8.636,,0.77,7.082
Road,Ecom Express,auto,electric,104,550.0,423.24,26.86,Low,21,3,Electric,,0.08657,9.044,,0.77,7.416
Road,Ecom Express,auto,electric,70,450.0,309.29,22.57,Moderate,25,1,Electric,,0.07161,5.066,,0.69,4.154
Road,Ecom Express,auto,electric,70,550.0,488.76,25.14,Low,15,2,Electric,,0.09539,6.768,,0.89,5.55
Road,Ecom Express,auto,electric,119,500.0,492.83,22.54,Moderate,16,1,Electric,,0.09255,11.1,,0.99,9.102
Road,Ecom Express,auto,electric,92,400.0,371.39,29.92,Moderate,19,5,Electric,,0.07267,6.69,,0.93,5.486
Road,Ecom Express,auto,electric,57,450.0,394.82,18.09,Moderate,19,1,Electric,,0.08117,4.636,,0.88,3.802
Road,Loadshare,auto,petrol,56,450.0,111.6,32.93,Moderate,22,9,BS-III,26.06,,,2.18,0.248,5.23
Road,Loadshare,auto,petrol,91,400.0,253.44,28.76,Heavy,35,4,BS-III,26.15,,,3.52,0.6336,8.45
Road,Loadshare,auto,petrol,89,500.0,183.55,30.08,Moderate,44,5,BS-III,22.07,,,4.06,0.3671,9.74
Road,Loadshare,auto,petrol,149,600.0,539.34,21.1,Low,47,4,BS-III,31.24,,,4.79,0.8989,11.5
Road,Loadshare,auto,petrol,86,400.0,326.2,22.37,Heavy,60,4,BS-VI,28.38,,,3.06,0.8155,6.43
Road,Loadshare,auto,petrol,131,600.0,123.3,24.49,Heavy,21,2,BS-IV,22.71,,,5.8,0.2055,13.34
Road,Loadshare,auto,petrol,65,400.0,287.88,24.23,Low,60,5,BS-III,29.0,,,2.26,0.7197,5.42
Road,Loadshare,auto,petrol,75,500.0,276.9,33.62,Low,20,10,BS-IV,28.94,,,2.6,0.5538,5.98
Road,Loadshare,auto,petrol,127,400.0,81.0,29.56,Moderate,25,7,BS-VI,27.85,,,4.56,0.2025,9.58
Road,Loadshare,auto,petrol,57,600.0,124.08,33.25,Low,49,0,BS-IV,30.48,,,1.89,0.2068,4.35
Road,Loadshare,auto,petrol,54,450.0,225.41,25.47,Low,37,3,BS-VI,25.91,,,2.09,0.5009,4.39
Road,Loadshare,auto,petrol,105,400.0,179.04,33.12,Heavy,24,3,BS-III,29.38,,,3.61,0.4476,8.66
Road,Loadshare,auto,petrol,52,450.0,367.65,31.05,Moderate,41,10,BS-VI,26.64,,,1.97,0.817,4.14
Road,Loadshare,auto,petrol,120,500.0,155.7,25.74,Low,45,3,BS-III,31.6,,,3.8,0.3114,9.12
Road,Loadshare,auto,petrol,132,550.0,244.64,33.07,Low,16,10,BS-III,25.37,,,5.2,0.4448,12.48
Road,Loadshare,auto,petrol,146,500.0,402.5,24.19,Heavy,47,6,BS-VI,27.68,,,5.3,0.805,11.13
Road,Loadshare,auto,petrol,52,600.0,259.08,33.16,Moderate,26,9,BS-IV,21.22,,,2.49,0.4318,5.73
Road,Loadshare,auto,petrol,122,600.0,302.52,24.71,Heavy,47,1,BS-IV,29.31,,,4.19,0.5042,9.64
Road,Loadshare,auto,petrol,120,450.0,170.24,20.03,Heavy,58,10,BS-III,22.31,,,5.42,0.3783,13.01
Road,Loadshare,auto,petrol,142,400.0,345.68,29.35,Heavy,22,4,BS-VI,22.81,,,6.23,0.8642,13.08
Road,Loadshare,auto,electric,65,400.0,399.11,23.65,Moderate,24,4,Electric,,0.03677,2.4125,,0.9978,1.9783
Road,Loadshare,auto,electric,109,500.0,454.82,21.07,Heavy,26,4,Electric,,0.03857,4.2145,,0.9096,3.4559
Road,Loadshare,auto,electric,80,500.0,448.9,25.39,Moderate,32,5,Electric,,0.04324,3.4955,,0.8978,2.8663
Road,Loadshare,auto,electric,32,400.0,200.92,20.35,Low,28,2,Electric,,0.04129,1.3502,,0.5023,1.1072
Road,Loadshare,auto,electric,53,500.0,296.05,24.03,Heavy,14,3,Electric,,0.03791,2.0248,,0.5921,1.6603
Road,Loadshare,auto,electric,51,300.0,278.6,29.52,Low,25,5,Electric,,0.03911,2.0322,,0.9287,1.6664
Road,Loadshare,auto,electric,95,300.0,179.68,27.33,Moderate,39,3,Electric,,0.03663,3.5062,,0.5989,2.8751
Road,Loadshare,auto,electric,57,300.0,207.57,31.21,Heavy,21,4,Electric,,0.04478,2.5596,,0.6919,2.0989
Road,Loadshare,auto,electric,35,500.0,332.96,23.07,Moderate,35,3,Electric,,0.04312,1.5415,,0.6659,1.264
Road,Loadshare,auto,electric,101,400.0,370.46,29.82,Low,15,5,Electric,,0.03492,3.5566,,0.9261,2.9164
Road,Loadshare,auto,electric,70,300.0,166.5,20.21,Moderate,15,5,Electric,,0.03811,2.6986,,0.555,2.2129
Road,Loadshare,auto,electric,87,500.0,498.36,22.81,Low,17,2,Electric,,0.03732,3.2644,,0.9967,2.6768
Road,Loadshare,auto,electric,40,500.0,322.37,32.58,Moderate,13,5,Electric,,0.04521,1.8486,,0.6447,1.5159
Road,Loadshare,auto,electric,87,500.0,488.5,34.32,Heavy,18,3,Electric,,0.03719,3.2545,,0.977,2.6687
Road,Loadshare,auto,electric,80,300.0,208.69,32.31,Heavy,24,1,Electric,,0.03492,2.8268,,0.6956,2.318
Road,Loadshare,auto,electric,98,400.0,292.6,27.17,Low,20,2,Electric,,0.03436,3.3944,,0.7315,2.7834
Road,Loadshare,auto,electric,53,500.0,410.14,24.98,Heavy,36,1,Electric,,0.03652,1.9527,,0.8203,1.6012
Road,Loadshare,auto,electric,110,300.0,270.2,24.8,Heavy,21,4,Electric,,0.04724,5.237,,0.9007,4.2943
Road,Loadshare,auto,electric,52,500.0,373.43,23.0,Low,12,4,Electric,,0.03612,1.8819,,0.7469,1.5432
Road,Loadshare,auto,electric,95,300.0,216.96,33.23,Moderate,24,3,Electric,,0.03797,3.6216,,0.7232,2.9697
